S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
114.,Sylvan Plyboard,70.35,39.76,136.31,0.00,,,,,8.63,Miscellaneous
115.,Madhuveer Com,142.60,57.77,135.20,0.00,2.51,25200.00,4.65,,13.44,Miscellaneous
116.,TCI Industries,1475.00,,132.76,0.00,-0.21,-520.00,0.48,-46.67,-7.83,Miscellaneous
117.,Orissa Bengal,58.64,33.52,123.62,0.00,-1.92,62.28,71.68,-11.51,7.08,Miscellaneous
118.,Banka Bioloo,113.31,,122.91,0.00,-0.25,-2500.00,16.31,99.39,3.12,Miscellaneous
119.,Kesar Terminals,112.35,,122.75,0.00,-9.81,-581.25,8.13,-12.49,-22.52,Miscellaneous
120.,Maruti Interior,79.93,35.19,120.69,0.32,1.07,,18.10,,16.49,Miscellaneous
121.,Agri-Tech India,197.45,12.04,117.29,0.00,1.40,766.67,0.00,,9.69,Miscellaneous
122.,Blue Pebble,280.95,30.55,114.63,0.00,0.83,,8.88,,146.92,Miscellaneous
123.,Sayaji Industr,171.05,,108.10,0.00,-7.82,-19450.00,265.13,-1.51,-1.50,Miscellaneous
124.,Integrated Perso,145.00,19.46,104.49,0.00,2.95,,134.81,,16.63,Miscellaneous
125.,Harshdeep,62.52,15.37,100.62,0.00,3.60,,25.27,,18600.00,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
126.,Sunil Healthcare,92.79,,95.14,0.00,0.15,-66.67,21.31,0.24,2.82,Miscellaneous
127.,Universal Starch,218.00,13.10,91.58,0.00,4.48,85.12,145.05,4.39,13.45,Miscellaneous
128.,Aro Granite Inds,58.93,68.79,90.14,0.00,0.36,-26.53,32.90,-29.94,5.03,Miscellaneous
129.,Siddhika Coatins,290.00,20.18,89.60,1.03,2.36,,20.79,,24.81,Miscellaneous
130.,Pentagon Rubber,113.60,19.72,87.59,0.00,1.99,,29.05,,27.41,Miscellaneous
131.,Orient Beverages,397.00,24.98,85.76,0.00,2.69,709.09,39.46,29.93,16.02,Miscellaneous
132.,ITCONS E-Soluti.,165.35,43.54,83.15,0.00,1.14,,15.72,,23.81,Miscellaneous
133.,Omfurn India,70.00,22.53,82.42,0.00,0.73,,36.11,,19.06,Miscellaneous
134.,Le Lavoir,250.80,78.15,81.26,0.00,0.37,37.04,0.69,9.52,25.29,Miscellaneous
135.,Evans Electric,292.00,15.80,80.13,0.69,1.85,,11.50,,44.39,Miscellaneous
136.,Divyashakti,77.70,34.40,79.81,2.58,0.47,130.52,16.15,13.97,2.65,Miscellaneous
137.,Ekansh Concept,51.50,,77.94,0.00,4.67,0.00,23.52,-41.87,4.70,Miscellaneous
138.,Vishwas Agri,74.25,12.36,74.25,0.00,4.51,,42.46,,31.26,Miscellaneous
139.,SVC Industries,4.24,,69.14,0.00,-0.46,30.30,0.06,,-0.49,Miscellaneous
140.,Walchand People,238.00,21.07,69.12,0.42,0.99,800.00,6.70,31.12,17.93,Miscellaneous
141.,Hardcast.& Waud,1006.70,26.54,68.46,0.00,0.55,511.11,1.29,16.22,7.00,Miscellaneous
142.,Inani Marbles,36.41,43.13,67.72,0.11,1.27,370.21,18.23,57.29,5.46,Miscellaneous
143.,Service Care Ltd,56.25,14.82,64.67,1.78,2.66,,103.65,,27.76,Miscellaneous
144.,Kontor Space,104.20,33.03,64.39,0.00,0.99,,6.38,,32.42,Miscellaneous
145.,DMR Hydroengg.,164.85,40.61,62.54,0.07,0.93,,3.88,,33.81,Miscellaneous
146.,DRA Consultants,53.50,24.65,58.69,0.00,1.77,,12.74,,11.82,Miscellaneous
147.,Innokaiz India,53.84,24.68,55.05,0.00,-0.37,,20.16,,,Miscellaneous
148.,Artefact Project,75.54,10.53,54.97,0.00,0.22,-75.56,7.12,36.14,9.95,Miscellaneous
149.,Winny Immigratio,245.90,136.82,53.36,0.00,,,,,16.49,Miscellaneous
150.,Simran Farms,140.70,140.35,53.33,0.00,0.19,-96.84,138.42,34.32,3.95,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
